Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
0:00,0,,,,,,,
0:05,0,,,,,,,
0:10,0,,,,,,,
0:15,0,,,,,,,
0:20,0,,,,,,,
0:25,0,,,,,,,
0:30,0,,,,,,,
0:35,0,,,,,,,
0:40,0,,,,,,,
0:45,0,,,,,,,
0:50,0,,,,,,,
0:55,0,,,,,,,
1:00,0,,,,,,,
1:05,0,,,,,,,
1:10,0,,,,,,,
1:15,0,,,,,,,
1:20,0,,,,,,,
1:25,0,,,,,,,
1:30,0,,,,,,,
1:35,0,,,,,,,
1:40,0,,,,,,,
1:45,0,,,,,,,
1:50,0,,,,,,,
1:55,0,,,,,,,
2:00,0,,,,,,,
2:05,0,,,,,,,
2:10,0,,,,,,,
2:15,0,,,,,,,
2:20,0,,,,,,,
2:25,0,,,,,,,
2:30,0,,,,,,,
2:35,0,,,,,,,
2:40,0,,,,,,,
2:45,0,,,,,,,
2:50,0,,,,,,,
2:55,0,,,,,,,
3:00,0,,,,,,,
3:05,0,,,,,,,
3:10,0,,,,,,,
3:15,0,,,,,,,
3:20,0,,,,,,,
3:25,0,,,,,,,
3:30,0,,,,,,,
3:35,0,,,,,,,
3:40,0,,,,,,,
3:45,0,,,,,,,
3:50,0,,,,,,,
3:55,0,,,,,,,
4:00,0,,,,,,,
4:05,0,,,,,,,
4:10,0,,,,,,,
4:15,0,,,,,,,
4:20,0,,,,,,,
4:25,0,,,,,,,
4:30,0,,,,,,,
4:35,0,,,,,,,
4:40,0,,,,,,,
4:45,0,,,,,,,
4:50,0,,,,,,,
4:55,0,,,,,,,
5:00,0,,,,,,,
5:05,0,,,,,,,
5:10,0,,,,,,,
5:15,0,,,,,,,
5:20,0,,,,,,,
5:25,0,,,,,,,
5:30,0,,,,,,,
5:35,0,,,,,,,
5:40,0,,,,,,,
5:45,0,,,,,,,
5:50,0,,,,,,,
5:55,0,,,,,,,
6:00,0,,,,,,,
6:05,0,,,,,,,
6:10,0,,,,,,,
6:15,0,,,,,,,
6:20,0,,,,,,,
6:25,0,,,,,,,
6:30,5,,,,,,,
6:35,8,,,,,,,
6:40,10,,,,,,,
6:45,12,,,,,,,
6:50,17,,,,,,,
6:55,20,,,,,,,
7:00,22,,,,,,,
7:05,23,,,,,,,
7:10,24,,,,,,,
7:15,26,,,,,,,
7:20,30,,,,,,,
7:25,31,,,,,,,
7:30,32,,,,,,,
7:35,33,,,,,,,
7:40,34,,,,,,,
7:45,35,,,,,,,
7:50,36,,,,,,,
7:55,37,,,,,,,
8:00,37,,,,,,,
8:05,39,,,,,,,
8:10,40,,,,,,,
8:15,41,,,,,,,
8:20,44,,,,,,,
8:25,48,,,,,,,
8:30,50,,,,,,,
8:35,52,,,,,,,
8:40,55,,,,,,,
8:45,57,,,,,,,
8:50,60,,,,,,,
8:55,62,,,,,,,
9:00,70,,,,,,,
9:05,72,,,,,,,
9:10,79,,,,,,,
9:15,80,,,,,,,
9:20,81,,,,,,,
9:25,82,,,,,,,
9:30,82,,,,,,,
9:35,83,,,,,,,
9:40,80,,,,,,,
9:45,77,,,,,,,
9:50,73,,,,,,,
9:55,63,,,,,,,
10:00,60,,,,,,,
10:05,66,,,,,,,
10:10,76,,,,,,,
10:15,74,,,,,,,
10:20,88,,,,,,,
10:25,86,,,,,,,
10:30,84,,,,,,,
10:35,88,,,,,,,
10:40,94,,,,,,,
10:45,95,,,,,,,
10:50,95,,,,,,,
10:55,95,,,,,,,
11:00,96,,,,,,,
11:05,95,,,,,,,
11:10,94,,,,,,,
11:15,99,,,,,,,
11:20,86,,,,,,,
11:25,89,,,,,,,
11:30,74,,,,,,,
11:35,76,,,,,,,
11:40,75,,,,,,,
11:45,77,,,,,,,
11:50,74,,,,,,,
11:55,76,,,,,,,
12:00,74,,,,,,,
12:05,79,,,,,,,
12:10,63,,,,,,,
12:15,61,,,,,,,
12:20,69,,,,,,,
12:25,61,,,,,,,
12:30,69,,,,,,,
12:35,54,,,,,,,
12:40,51,,,,,,,
12:45,53,,,,,,,
12:50,80,,,,,,,
12:55,89,,,,,,,
13:00,80,,,,,,,
13:05,88,,,,,,,
13:10,90,,,,,,,
13:15,90,,,,,,,
13:20,91,,,,,,,
13:25,93,,,,,,,
13:30,94,,,,,,,
13:35,97,,,,,,,
13:40,100,,,,,,,
13:45,101,,,,,,,
13:50,106,,,,,,,
13:55,106,,,,,,,
14:00,106,,,,,,,
14:05,109,,,,,,,
14:10,107,,,,,,,
14:15,106,,,,,,,
14:20,108,,,,,,,
14:25,115,,,,,,,
14:30,119,,,,,,,
14:35,129,,,,,,,
14:40,139,,,,,,,
14:45,149,,,,,,,
14:50,145,,,,,,,
14:55,139,,,,,,,
15:00,133,,,,,,,
15:05,131,,,,,,,
15:10,139,,,,,,,
15:15,131,,,,,,,
15:20,138,,,,,,,
15:25,139,,,,,,,
15:30,141,,,,,,,
15:35,157,,,,,,,
15:40,149,,,,,,,
15:45,141,,,,,,,
15:50,143,,,,,,,
15:55,138,,,,,,,
16:00,135,,,,,,,
16:05,122,,,,,,,
16:10,127,,,,,,,
16:15,114,,,,,,,
16:20,103,,,,,,,
16:25,103,,,,,,,
16:30,106,,,,,,,
16:35,105,,,,,,,
16:40,105,,,,,,,
16:45,106,,,,,,,
16:50,103,,,,,,,
16:55,103,,,,,,,
17:00,103,,,,,,,
17:05,101,,,,,,,
17:10,101,,,,,,,
17:15,104,,,,,,,
17:20,105,,,,,,,
17:25,108,,,,,,,
17:30,102,,,,,,,
17:35,105,,,,,,,
17:40,103,,,,,,,
17:45,106,,,,,,,
17:50,104,,,,,,,
17:55,104,,,,,,,
18:00,90,,,,,,,
18:05,85,,,,,,,
18:10,82,,,,,,,
18:15,78,,,,,,,
18:20,74,,,,,,,
18:25,74,,,,,,,
18:30,73,,,,,,,
18:35,70,,,,,,,
18:40,65,,,,,,,
18:45,65,,,,,,,
18:50,62,,,,,,,
18:55,61,,,,,,,
19:00,60,,,,,,,
19:05,54,,,,,,,
19:10,53,,,,,,,
19:15,43,,,,,,,
19:20,34,,,,,,,
19:25,22,,,,,,,
19:30,15,,,,,,,
19:35,15,,,,,,,
19:40,13,,,,,,,
19:45,4,,,,,,,
19:50,3,,,,,,,
19:55,2,,,,,,,
20:00,0,,,,,,,
20:05,0,,,,,,,
20:10,0,,,,,,,
20:15,0,,,,,,,
20:20,0,,,,,,,
20:25,0,,,,,,,
20:30,0,,,,,,,
20:35,0,,,,,,,
20:40,0,,,,,,,
20:45,0,,,,,,,
20:50,0,,,,,,,
20:55,0,,,,,,,
21:00,0,,,,,,,
21:05,0,,,,,,,
21:10,0,,,,,,,
21:15,0,,,,,,,
21:20,0,,,,,,,
21:25,0,,,,,,,
21:30,0,,,,,,,
21:35,0,,,,,,,
21:40,0,,,,,,,
21:45,0,,,,,,,
21:50,0,,,,,,,
21:55,0,,,,,,,
22:00,0,,,,,,,
22:05,0,,,,,,,
22:10,0,,,,,,,
22:15,0,,,,,,,
22:20,0,,,,,,,
22:25,0,,,,,,,
22:30,0,,,,,,,
22:35,0,,,,,,,
22:40,0,,,,,,,
22:45,0,,,,,,,
22:50,0,,,,,,,
22:55,0,,,,,,,
23:00,0,,,,,,,
23:05,0,,,,,,,
23:10,0,,,,,,,
23:15,0,,,,,,,
23:20,0,,,,,,,
23:25,0,,,,,,,
23:30,0,,,,,,,
23:35,0,,,,,,,
23:40,0,,,,,,,
23:45,0,,,,,,,
23:50,0,,,,,,,
23:55,0,,,,,,,
,,,,,,,,
0:00,,0,,,,,,
0:05,,0,,,,,,
0:10,,0,,,,,,
0:15,,0,,,,,,
0:20,,0,,,,,,
0:25,,0,,,,,,
0:30,,0,,,,,,
0:35,,0,,,,,,
0:40,,0,,,,,,
0:45,,0,,,,,,
0:50,,0,,,,,,
0:55,,0,,,,,,
1:00,,0,,,,,,
1:05,,0,,,,,,
1:10,,0,,,,,,
1:15,,0,,,,,,
1:20,,0,,,,,,
1:25,,0,,,,,,
1:30,,0,,,,,,
1:35,,0,,,,,,
1:40,,0,,,,,,
1:45,,0,,,,,,
1:50,,0,,,,,,
1:55,,0,,,,,,
2:00,,0,,,,,,
2:05,,0,,,,,,
2:10,,0,,,,,,
2:15,,0,,,,,,
2:20,,0,,,,,,
2:25,,0,,,,,,
2:30,,0,,,,,,
2:35,,0,,,,,,
2:40,,0,,,,,,
2:45,,0,,,,,,
2:50,,0,,,,,,
2:55,,0,,,,,,
3:00,,0,,,,,,
3:05,,0,,,,,,
3:10,,0,,,,,,
3:15,,0,,,,,,
3:20,,0,,,,,,
3:25,,0,,,,,,
3:30,,0,,,,,,
3:35,,0,,,,,,
3:40,,0,,,,,,
3:45,,0,,,,,,
3:50,,0,,,,,,
3:55,,0,,,,,,
4:00,,0,,,,,,
4:05,,0,,,,,,
4:10,,0,,,,,,
4:15,,0,,,,,,
4:20,,0,,,,,,
4:25,,0,,,,,,
4:30,,0,,,,,,
4:35,,0,,,,,,
4:40,,0,,,,,,
4:45,,0,,,,,,
4:50,,0,,,,,,
4:55,,0,,,,,,
5:00,,0,,,,,,
5:05,,0,,,,,,
5:10,,0,,,,,,
5:15,,0,,,,,,
5:20,,0,,,,,,
5:25,,0,,,,,,
5:30,,0,,,,,,
5:35,,0,,,,,,
5:40,,0,,,,,,
5:45,,0,,,,,,
5:50,,0,,,,,,
5:55,,0,,,,,,
6:00,,0,,,,,,
6:05,,0,,,,,,
