Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
0:00,0,,,,,,,
0:05,0,,,,,,,
0:10,0,,,,,,,
0:15,0,,,,,,,
0:20,0,,,,,,,
0:25,0,,,,,,,
0:30,0,,,,,,,
0:35,0,,,,,,,
0:40,0,,,,,,,
0:45,0,,,,,,,
0:50,0,,,,,,,
0:55,0,,,,,,,
1:00,0,,,,,,,
1:05,0,,,,,,,
1:10,0,,,,,,,
1:15,0,,,,,,,
1:20,0,,,,,,,
1:25,0,,,,,,,
1:30,0,,,,,,,
1:35,0,,,,,,,
1:40,0,,,,,,,
1:45,0,,,,,,,
1:50,0,,,,,,,
1:55,0,,,,,,,
2:00,0,,,,,,,
2:05,0,,,,,,,
2:10,0,,,,,,,
2:15,0,,,,,,,
2:20,0,,,,,,,
2:25,0,,,,,,,
2:30,0,,,,,,,
2:35,0,,,,,,,
2:40,0,,,,,,,
2:45,0,,,,,,,
2:50,0,,,,,,,
2:55,0,,,,,,,
3:00,0,,,,,,,
3:05,0,,,,,,,
3:10,0,,,,,,,
3:15,0,,,,,,,
3:20,0,,,,,,,
3:25,0,,,,,,,
3:30,0,,,,,,,
3:35,0,,,,,,,
3:40,0,,,,,,,
3:45,0,,,,,,,
3:50,0,,,,,,,
3:55,0,,,,,,,
4:00,0,,,,,,,
4:05,0,,,,,,,
4:10,0,,,,,,,
4:15,0,,,,,,,
4:20,0,,,,,,,
4:25,0,,,,,,,
4:30,0,,,,,,,
4:35,0,,,,,,,
4:40,0,,,,,,,
4:45,0,,,,,,,
4:50,0,,,,,,,
4:55,0,,,,,,,
5:00,0,,,,,,,
5:05,0,,,,,,,
5:10,0,,,,,,,
5:15,0,,,,,,,
5:20,0,,,,,,,
5:25,0,,,,,,,
5:30,0,,,,,,,
5:35,0,,,,,,,
5:40,0,,,,,,,
5:45,0,,,,,,,
5:50,0,,,,,,,
5:55,0,,,,,,,
6:00,0,,,,,,,
6:05,0,,,,,,,
6:10,0,,,,,,,
6:15,2,,,,,,,
6:20,3,,,,,,,
6:25,3,,,,,,,
6:30,4,,,,,,,
6:35,4,,,,,,,
6:40,10,,,,,,,
6:45,20,,,,,,,
6:50,21,,,,,,,
6:55,24,,,,,,,
7:00,27,,,,,,,
7:05,26,,,,,,,
7:10,24,,,,,,,
7:15,41,,,,,,,
7:20,43,,,,,,,
7:25,45,,,,,,,
7:30,49,,,,,,,
7:35,49,,,,,,,
7:40,49,,,,,,,
7:45,50,,,,,,,
7:50,55,,,,,,,
7:55,57,,,,,,,
8:00,59,,,,,,,
8:05,60,,,,,,,
8:10,64,,,,,,,
8:15,65,,,,,,,
8:20,65,,,,,,,
8:25,65,,,,,,,
8:30,67,,,,,,,
8:35,67,,,,,,,
8:40,68,,,,,,,
8:45,69,,,,,,,
8:50,70,,,,,,,
8:55,70,,,,,,,
9:00,71,,,,,,,
9:05,72,,,,,,,
9:10,71,,,,,,,
9:15,72,,,,,,,
9:20,72,,,,,,,
9:25,72,,,,,,,
9:30,73,,,,,,,
9:35,74,,,,,,,
9:40,74,,,,,,,
9:45,75,,,,,,,
9:50,76,,,,,,,
9:55,77,,,,,,,
10:00,78,,,,,,,
10:05,79,,,,,,,
10:10,80,,,,,,,
10:15,81,,,,,,,
10:20,82,,,,,,,
10:25,84,,,,,,,
10:30,87,,,,,,,
10:35,89,,,,,,,
10:40,91,,,,,,,
10:45,94,,,,,,,
10:50,100,,,,,,,
10:55,106,,,,,,,
11:00,115,,,,,,,
11:05,120,,,,,,,
11:10,125,,,,,,,
11:15,129,,,,,,,
11:20,131,,,,,,,
11:25,136,,,,,,,
11:30,139,,,,,,,
11:35,141,,,,,,,
11:40,143,,,,,,,
11:45,147,,,,,,,
11:50,149,,,,,,,
11:55,151,,,,,,,
12:00,153,,,,,,,
12:05,152,,,,,,,
12:10,147,,,,,,,
12:15,142,,,,,,,
12:20,127,,,,,,,
12:25,122,,,,,,,
12:30,117,,,,,,,
12:35,102,,,,,,,
12:40,102,,,,,,,
12:45,100,,,,,,,
12:50,100,,,,,,,
12:55,98,,,,,,,
13:00,95,,,,,,,
13:05,95,,,,,,,
13:10,94,,,,,,,
13:15,93,,,,,,,
13:20,95,,,,,,,
13:25,95,,,,,,,
13:30,92,,,,,,,
13:35,92,,,,,,,
13:40,92,,,,,,,
13:45,90,,,,,,,
13:50,88,,,,,,,
13:55,85,,,,,,,
14:00,81,,,,,,,
14:05,81,,,,,,,
14:10,82,,,,,,,
14:15,81,,,,,,,
14:20,75,,,,,,,
14:25,72,,,,,,,
14:30,70,,,,,,,
14:35,68,,,,,,,
14:40,64,,,,,,,
14:45,64,,,,,,,
14:50,61,,,,,,,
14:55,59,,,,,,,
15:00,54,,,,,,,
15:05,52,,,,,,,
15:10,50,,,,,,,
15:15,52,,,,,,,
15:20,55,,,,,,,
15:25,54,,,,,,,
15:30,52,,,,,,,
15:35,54,,,,,,,
15:40,55,,,,,,,
15:45,56,,,,,,,
15:50,57,,,,,,,
15:55,58,,,,,,,
16:00,61,,,,,,,
16:05,62,,,,,,,
16:10,64,,,,,,,
16:15,65,,,,,,,
16:20,66,,,,,,,
16:25,67,,,,,,,
16:30,70,,,,,,,
16:35,70,,,,,,,
16:40,74,,,,,,,
16:45,75,,,,,,,
16:50,78,,,,,,,
16:55,79,,,,,,,
17:00,81,,,,,,,
17:05,83,,,,,,,
17:10,84,,,,,,,
17:15,86,,,,,,,
17:20,88,,,,,,,
17:25,86,,,,,,,
17:30,85,,,,,,,
17:35,85,,,,,,,
17:40,83,,,,,,,
17:45,80,,,,,,,
17:50,75,,,,,,,
17:55,74,,,,,,,
18:00,74,,,,,,,
18:05,71,,,,,,,
18:10,68,,,,,,,
18:15,67,,,,,,,
18:20,64,,,,,,,
18:25,63,,,,,,,
18:30,62,,,,,,,
18:35,61,,,,,,,
18:40,60,,,,,,,
18:45,60,,,,,,,
18:50,55,,,,,,,
18:55,53,,,,,,,
19:00,49,,,,,,,
19:05,45,,,,,,,
19:10,40,,,,,,,
19:15,35,,,,,,,
19:20,31,,,,,,,
19:25,29,,,,,,,
19:30,28,,,,,,,
19:35,22,,,,,,,
19:40,17,,,,,,,
19:45,13,,,,,,,
19:50,10,,,,,,,
19:55,5,,,,,,,
20:00,0,,,,,,,
20:05,0,,,,,,,
20:10,0,,,,,,,
20:15,0,,,,,,,
20:20,0,,,,,,,
20:25,0,,,,,,,
20:30,0,,,,,,,
20:35,0,,,,,,,
20:40,0,,,,,,,
20:45,0,,,,,,,
20:50,0,,,,,,,
20:55,0,,,,,,,
21:00,0,,,,,,,
21:05,0,,,,,,,
21:10,0,,,,,,,
21:15,0,,,,,,,
21:20,0,,,,,,,
21:25,0,,,,,,,
21:30,0,,,,,,,
21:35,0,,,,,,,
21:40,0,,,,,,,
21:45,0,,,,,,,
21:50,0,,,,,,,
21:55,0,,,,,,,
22:00,0,,,,,,,
22:05,0,,,,,,,
22:10,0,,,,,,,
22:15,0,,,,,,,
22:20,0,,,,,,,
22:25,0,,,,,,,
22:30,0,,,,,,,
22:35,0,,,,,,,
22:40,0,,,,,,,
22:45,0,,,,,,,
22:50,0,,,,,,,
22:55,0,,,,,,,
23:00,0,,,,,,,
23:05,0,,,,,,,
23:10,0,,,,,,,
23:15,0,,,,,,,
23:20,0,,,,,,,
23:25,0,,,,,,,
23:30,0,,,,,,,
23:35,0,,,,,,,
23:40,0,,,,,,,
23:45,0,,,,,,,
23:50,0,,,,,,,
23:55,0,,,,,,,
,,,,,,,,
0:00,,0,,,,,,
0:05,,0,,,,,,
0:10,,0,,,,,,
0:15,,0,,,,,,
0:20,,0,,,,,,
0:25,,0,,,,,,
0:30,,0,,,,,,
0:35,,0,,,,,,
0:40,,0,,,,,,
0:45,,0,,,,,,
0:50,,0,,,,,,
0:55,,0,,,,,,
1:00,,0,,,,,,
1:05,,0,,,,,,
1:10,,0,,,,,,
1:15,,0,,,,,,
1:20,,0,,,,,,
1:25,,0,,,,,,
1:30,,0,,,,,,
1:35,,0,,,,,,
1:40,,0,,,,,,
1:45,,0,,,,,,
1:50,,0,,,,,,
1:55,,0,,,,,,
2:00,,0,,,,,,
2:05,,0,,,,,,
2:10,,0,,,,,,
2:15,,0,,,,,,
2:20,,0,,,,,,
2:25,,0,,,,,,
2:30,,0,,,,,,
2:35,,0,,,,,,
2:40,,0,,,,,,
2:45,,0,,,,,,
2:50,,0,,,,,,
2:55,,0,,,,,,
3:00,,0,,,,,,
3:05,,0,,,,,,
3:10,,0,,,,,,
3:15,,0,,,,,,
3:20,,0,,,,,,
3:25,,0,,,,,,
3:30,,0,,,,,,
3:35,,0,,,,,,
3:40,,0,,,,,,
3:45,,0,,,,,,
3:50,,0,,,,,,
3:55,,0,,,,,,
4:00,,0,,,,,,
4:05,,0,,,,,,
4:10,,0,,,,,,
4:15,,0,,,,,,
4:20,,0,,,,,,
4:25,,0,,,,,,
4:30,,0,,,,,,
4:35,,0,,,,,,
4:40,,0,,,,,,
4:45,,0,,,,,,
4:50,,0,,,,,,
4:55,,0,,,,,,
5:00,,0,,,,,,
5:05,,0,,,,,,
5:10,,0,,,,,,
5:15,,0,,,,,,
5:20,,0,,,,,,
5:25,,0,,,,,,
5:30,,0,,,,,,
5:35,,0,,,,,,
5:40,,0,,,,,,
5:45,,0,,,,,,
5:50,,0,,,,,,
5:55,,0,,,,,,
6:00,,0,,,,,,
6:05,,0,,,,,,
